game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
10296,1,-1,O,X,0.05837279,0
10297,1,-1,X,O,0.0040170895,0
10298,1,-1,O,X,0.1347231,0
10299,-1,1,X,O,0.07220983,0
10300,-1,1,O,X,0.0010569997,0
10301,1,-1,X,O,0.008798235,0
10302,-1,1,O,X,0.090306275,0
10303,1,-1,X,O,0.16573274,0
10304,-1,1,O,X,0.08448701,0
10305,-1,1,X,O,0.02816277,0
10306,-1,1,O,X,0.270068,0
10307,0,0,X,O,0.028765408,0
10308,-1,1,O,X,0.04080546,0
10309,1,-1,X,O,1.1786304,0
10310,1,-1,O,X,0.029499196,0
10311,-1,1,X,O,0.04124241,0
10312,-1,1,O,X,0.15667936,0
10313,1,-1,X,O,1.0842224,0
10314,1,-1,O,X,0.016828982,0
10315,1,-1,X,O,0.2783141,0
10316,-1,1,O,X,1.0576477,0
10317,1,-1,X,O,0.0028521514,0
10318,-1,1,O,X,0.4008402,0
10319,1,-1,X,O,0.028044859,0
10320,1,-1,O,X,0.06967879,0
10321,-1,1,X,O,0.0057471944,0
10322,1,-1,O,X,1.522932,0
10323,1,-1,X,O,0.04967525,0
10324,1,-1,O,X,0.05796513,0
10325,-1,1,X,O,0.051644973,0
10326,-1,1,O,X,0.32623494,0
10327,0,0,X,O,0.0008803909,0
10328,-1,1,O,X,0.0015307989,0
10329,-1,1,X,O,0.002647693,0
10330,-1,1,O,X,0.0018680843,0
10331,1,-1,X,O,4.9796265e-05,0
10332,1,-1,O,X,0.13708085,0
10333,0,0,X,O,0.005109529,0
10334,-1,1,O,X,0.0050959447,0
10335,1,-1,X,O,0.07091112,0
10336,-1,1,O,X,0.008209675,0
10337,1,-1,X,O,5.8049347e-05,0
10338,1,-1,O,X,0.14647597,0
10339,1,-1,X,O,0.00012019444,0
10340,-1,1,O,X,0.17851675,0
10341,1,-1,X,O,0.008318917,0
10342,-1,1,O,X,0.19761649,0
10343,-1,1,X,O,0.0056186137,0
10344,1,-1,O,X,0.29948518,0
10345,0,0,X,O,0.003706234,0
10346,-1,1,O,X,0.00916436,0
10347,1,-1,X,O,0.054725006,0
10348,0,0,O,X,0.0546649,0
10349,1,-1,X,O,0.0001645831,0
10350,1,-1,O,X,0.012271134,0
10351,-1,1,X,O,0.05533862,0
10352,1,-1,O,X,0.004717738,0
10353,1,-1,X,O,0.0054106135,0
10354,-1,1,O,X,0.19816884,0
10355,1,-1,X,O,0.00010552326,0
10356,1,-1,O,X,0.02839818,0
10357,1,-1,X,O,0.07575522,0
10358,1,-1,O,X,0.0007006426,0
10359,0,0,X,O,0.00026306527,0
10360,1,-1,O,X,0.005781094,0
10361,1,-1,X,O,1.5185154e-05,0
10362,-1,1,O,X,0.017089738,0
10363,1,-1,X,O,0.018371426,0
10364,-1,1,O,X,0.13128181,0
10365,1,-1,X,O,0.013112587,0
10366,1,-1,O,X,0.119181,0
10367,0,0,X,O,5.575431e-06,0
10368,0,0,O,X,0.0418016,0
10369,1,-1,X,O,3.056789e-07,0
10370,-1,1,O,X,0.57523334,0
10371,-1,1,X,O,0.015806971,0
10372,-1,1,O,X,0.15407917,0
10373,1,-1,X,O,0.0064100563,0
10374,1,-1,O,X,0.0073822276,0
10375,1,-1,X,O,0.0018237494,0
10376,-1,1,O,X,0.08286121,0
10377,1,-1,X,O,0.0037213834,0
10378,-1,1,O,X,0.112610765,0
10379,-1,1,X,O,2.0314617,0
10380,-1,1,O,X,0.0203299,0
10381,0,0,X,O,0.012581192,0
10382,-1,1,O,X,0.6131978,0
10383,1,-1,X,O,0.0018775396,0
10384,1,-1,O,X,0.038365643,0
10385,-1,1,X,O,0.008674884,0
10386,1,-1,O,X,0.016205484,0
10387,-1,1,X,O,0.058936853,0
10388,1,-1,O,X,0.0005381357,0
10389,1,-1,X,O,0.009558483,0
10390,1,-1,O,X,1.5499847,0
10391,1,-1,X,O,0.0025438662,0
10392,-1,1,O,X,1.0593448,0
10393,0,0,X,O,0.0034145562,0
10394,-1,1,O,X,0.017104616,0
10395,1,-1,X,O,0.06818517,0
10396,-1,1,O,X,0.06021139,0
10397,1,-1,X,O,0.007645923,0
10398,-1,1,O,X,0.009058128,0
10399,-1,1,X,O,0.18110871,0
10400,-1,1,O,X,0.0027073962,0
10401,1,-1,X,O,0.014061593,0
10402,-1,1,O,X,0.77034736,0
10403,-1,1,X,O,0.028452698,0
10404,-1,1,O,X,0.019750027,0
10405,-1,1,X,O,0.13258302,0
10406,1,-1,O,X,0.0048926882,0
10407,1,-1,X,O,0.043151584,0
10408,1,-1,O,X,0.0007050987,0
10409,1,-1,X,O,0.0049563246,0
10410,0,0,O,X,0.3780498,0
10411,0,0,X,O,0.0016967575,0
10412,1,-1,O,X,0.0033363663,0
10413,1,-1,X,O,0.004054269,0
10414,-1,1,O,X,0.36606193,0
10415,-1,1,X,O,0.05430762,0
10416,-1,1,O,X,0.0074384785,0
10417,1,-1,X,O,0.00049362297,0
