,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
19498,19499,X,O,3.14260832965374e-05,0,0.104,-0.134,0.0
19748,19749,X,O,5.458493251353502e-05,0,0.5,-0.132,0.0
19998,19999,X,O,2.603869143058546e-05,0,0.298,-0.15,0.0
248,249,X,O,0.03694149851799011,0,-1.0,-0.682,0.2
498,499,X,O,0.02484762668609619,0,-1.0,-0.2,0.2
748,749,X,O,0.03178559988737106,0,-0.896,0.03,0.2
998,999,X,O,0.01902119815349579,0,-0.902,0.202,0.2
1248,1249,X,O,0.017432529479265213,0,-0.756,0.34,0.2
1498,1499,X,O,0.03589069843292236,0,0.0,0.5,0.2
1748,1749,X,O,0.02558908611536026,0,-0.76,0.526,0.2
1998,1999,X,O,0.019474521279335022,0,-0.664,0.578,0.2
2248,2249,X,O,0.08358664810657501,0,-0.532,0.624,0.2
2498,2499,X,O,0.039222702383995056,0,0.0,0.632,0.2
2748,2749,X,O,0.04377252608537674,0,0.0,0.516,0.2
2998,2999,X,O,0.0762799084186554,0,0.0,0.556,0.2
3248,3249,X,O,0.046690747141838074,0,0.0,0.544,0.2
3498,3499,X,O,0.0670008659362793,0,0.0,0.416,0.2
3748,3749,X,O,0.050473280251026154,0,0.0,0.474,0.2
3998,3999,X,O,0.05124274268746376,0,0.0,0.664,0.2
4248,4249,X,O,0.0594697967171669,0,0.0,0.552,0.2
4498,4499,X,O,0.04956682771444321,0,0.0,0.628,0.2
4748,4749,X,O,0.028319761157035828,0,0.0,0.658,0.2
4998,4999,X,O,0.059469982981681824,0,0.0,0.594,0.2
5248,5249,X,O,0.04931428283452988,0,0.096,0.652,0.2
5498,5499,X,O,0.10351596772670746,0,0.0,0.648,0.2
5748,5749,X,O,0.09142295271158218,0,0.194,0.604,0.2
5998,5999,X,O,0.09288746863603592,0,0.0,0.734,0.2
6248,6249,X,O,0.021667497232556343,0,0.0,0.62,0.2
6498,6499,X,O,0.07645178586244583,0,0.0,0.688,0.2
6748,6749,X,O,0.07363701611757278,0,0.194,0.748,0.2
6998,6999,X,O,0.04884267598390579,0,0.0,0.644,0.2
7248,7249,X,O,0.049130409955978394,0,0.0,0.68,0.2
7498,7499,X,O,0.072520412504673,0,0.098,0.724,0.2
7748,7749,X,O,0.023643668740987778,0,0.0,0.67,0.2
7998,7999,X,O,0.07747607678174973,0,0.096,0.602,0.2
8248,8249,X,O,0.052909620106220245,0,0.194,0.674,0.2
8498,8499,X,O,0.11762100458145142,0,0.098,0.672,0.2
8748,8749,X,O,0.03526371344923973,0,0.098,0.722,0.2
8998,8999,X,O,0.07583136856555939,0,0.0,0.666,0.2
9248,9249,X,O,0.0729735791683197,0,0.0,0.64,0.2
9498,9499,X,O,0.024271555244922638,0,0.0,0.592,0.2
9748,9749,X,O,0.06223522126674652,0,0.098,0.636,0.2
9998,9999,X,O,0.05893424153327942,0,0.096,0.568,0.2
10248,10249,X,O,0.042028557509183884,0,-0.414,0.69,0.2
10498,10499,X,O,0.049884095788002014,0,0.098,0.726,0.2
10748,10749,X,O,0.027705950662493706,0,-0.57,0.68,0.2
10998,10999,X,O,0.1275400072336197,0,0.194,0.708,0.2
11248,11249,X,O,0.016978420317173004,0,0.0,0.688,0.2
11498,11499,X,O,0.05265771597623825,0,0.104,0.728,0.2
11748,11749,X,O,0.03966030851006508,0,0.0,0.66,0.2
