game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
16265,-1,1,X,O,0.0949205756187439,0
16266,1,-1,O,X,0.06811652332544327,0
16267,1,-1,X,O,0.12164720892906189,0
16268,1,-1,O,X,0.10182937979698181,0
16269,1,-1,X,O,0.087888702750206,0
16270,0,0,O,X,0.10740433633327484,0
16271,1,-1,X,O,0.05688324570655823,0
16272,0,0,O,X,0.07738249003887177,0
16273,1,-1,X,O,0.08655347675085068,0
16274,-1,1,O,X,0.056922584772109985,0
16275,1,-1,X,O,0.07153584063053131,0
16276,1,-1,O,X,0.09634513407945633,0
16277,1,-1,X,O,0.09961927682161331,0
16278,-1,1,O,X,0.05437280982732773,0
16279,1,-1,X,O,0.039542436599731445,0
16280,1,-1,O,X,0.08518834412097931,0
16281,1,-1,X,O,0.0828237533569336,0
16282,-1,1,O,X,0.14243972301483154,0
16283,1,-1,X,O,0.09956475347280502,0
16284,1,-1,O,X,0.10554786026477814,0
16285,-1,1,X,O,0.08204661309719086,0
16286,1,-1,O,X,0.0767049789428711,0
16287,1,-1,X,O,0.07237329334020615,0
16288,1,-1,O,X,0.10371237993240356,0
16289,1,-1,X,O,0.0942092165350914,0
16290,1,-1,O,X,0.1410655677318573,0
16291,1,-1,X,O,0.09493051469326019,0
16292,1,-1,O,X,0.05803705006837845,0
16293,1,-1,X,O,0.08977833390235901,0
16294,-1,1,O,X,0.06692682206630707,0
16295,1,-1,X,O,0.0975361317396164,0
16296,-1,1,O,X,0.07451345026493073,0
16297,1,-1,X,O,0.10058028995990753,0
16298,1,-1,O,X,0.06365779042243958,0
16299,1,-1,X,O,0.06048416346311569,0
16300,-1,1,O,X,0.0718623548746109,0
16301,-1,1,X,O,0.09516273438930511,0
16302,-1,1,O,X,0.06630600243806839,0
16303,1,-1,X,O,0.10220479220151901,0
16304,-1,1,O,X,0.11112412065267563,0
16305,-1,1,X,O,0.08106094598770142,0
16306,-1,1,O,X,0.07838910818099976,0
16307,1,-1,X,O,0.07707180082798004,0
16308,-1,1,O,X,0.11944502592086792,0
16309,1,-1,X,O,0.09168975055217743,0
16310,-1,1,O,X,0.08107385039329529,0
16311,1,-1,X,O,0.08964508771896362,0
16312,1,-1,O,X,0.1197226494550705,0
16313,1,-1,X,O,0.0805947482585907,0
16314,1,-1,O,X,0.09278209507465363,0
16315,1,-1,X,O,0.08146728575229645,0
16316,1,-1,O,X,0.1066293716430664,0
16317,-1,1,X,O,0.07328969240188599,0
16318,-1,1,O,X,0.08067912608385086,0
16319,1,-1,X,O,0.08559899032115936,0
16320,-1,1,O,X,0.08147260546684265,0
16321,1,-1,X,O,0.08425236493349075,0
16322,-1,1,O,X,0.07957905530929565,0
16323,1,-1,X,O,0.057380273938179016,0
16324,-1,1,O,X,0.05435990169644356,0
16325,1,-1,X,O,0.11186543107032776,0
16326,-1,1,O,X,0.10565022379159927,0
16327,1,-1,X,O,0.07246211171150208,0
16328,1,-1,O,X,0.08606427907943726,0
16329,1,-1,X,O,0.10761204361915588,0
16330,1,-1,O,X,0.09686492383480072,0
16331,1,-1,X,O,0.11040002107620239,0
16332,-1,1,O,X,0.081475630402565,0
16333,-1,1,X,O,0.06499522924423218,0
16334,-1,1,O,X,0.11272279918193817,0
16335,1,-1,X,O,0.10758022964000702,0
16336,1,-1,O,X,0.07370717823505402,0
16337,1,-1,X,O,0.11603163927793503,0
16338,-1,1,O,X,0.09409348666667938,0
16339,-1,1,X,O,0.14618951082229614,0
16340,1,-1,O,X,0.04888763278722763,0
16341,-1,1,X,O,0.09057532250881195,0
16342,-1,1,O,X,0.11602982878684998,0
16343,-1,1,X,O,0.13129395246505737,0
16344,-1,1,O,X,0.06437236070632935,0
16345,1,-1,X,O,0.11387931555509567,0
16346,1,-1,O,X,0.062228817492723465,0
16347,1,-1,X,O,0.07226614654064178,0
16348,-1,1,O,X,0.0978105366230011,0
16349,-1,1,X,O,0.07471543550491333,0
16350,-1,1,O,X,0.08563020825386047,0
16351,1,-1,X,O,0.0863974466919899,0
16352,-1,1,O,X,0.08015846461057663,0
16353,1,-1,X,O,0.09154528379440308,0
16354,0,0,O,X,0.06496888399124146,0
16355,1,-1,X,O,0.07163610309362411,0
16356,1,-1,O,X,0.04748754948377609,0
16357,1,-1,X,O,0.056759729981422424,0
16358,1,-1,O,X,0.06206759810447693,0
16359,1,-1,X,O,0.06299411505460739,0
16360,-1,1,O,X,0.0824020728468895,0
16361,1,-1,X,O,0.09513622522354126,0
16362,-1,1,O,X,0.06772641837596893,0
16363,1,-1,X,O,0.09218576550483704,0
16364,-1,1,O,X,0.10344104468822479,0
16365,1,-1,X,O,0.08928495645523071,0
16366,1,-1,O,X,0.1065598875284195,0
16367,1,-1,X,O,0.07672970741987228,0
16368,1,-1,O,X,0.06767142564058304,0
16369,1,-1,X,O,0.05438140034675598,0
16370,1,-1,O,X,0.07511855661869049,0
16371,1,-1,X,O,0.07560871541500092,0
16372,-1,1,O,X,0.07846954464912415,0
16373,1,-1,X,O,0.08044606447219849,0
16374,1,-1,O,X,0.08558391034603119,0
16375,1,-1,X,O,0.05731162428855896,0
16376,-1,1,O,X,0.08474574983119965,0
16377,1,-1,X,O,0.08693163841962814,0
16378,1,-1,O,X,0.13328874111175537,0
16379,-1,1,X,O,0.0782475620508194,0
16380,1,-1,O,X,0.12766596674919128,0
16381,1,-1,X,O,0.0729900375008583,0
16382,-1,1,O,X,0.09520652890205383,0
16383,1,-1,X,O,0.05929720401763916,0
16384,-1,1,O,X,0.11263267695903778,0
16385,1,-1,X,O,0.10210742801427841,0
16386,-1,1,O,X,0.09644582867622375,0
16387,1,-1,X,O,0.0991833433508873,0
16388,1,-1,O,X,0.08469992876052856,0
16389,1,-1,X,O,0.1070939376950264,0
16390,1,-1,O,X,0.10947766900062561,0
16391,1,-1,X,O,0.0557238832116127,0
16392,-1,1,O,X,0.08911339938640594,0
16393,-1,1,X,O,0.09471344202756882,0
16394,1,-1,O,X,0.07812858372926712,0
16395,1,-1,X,O,0.10342852026224136,0
16396,1,-1,O,X,0.10272401571273804,0
16397,1,-1,X,O,0.07891646772623062,0
16398,-1,1,O,X,0.10340499132871628,0
16399,1,-1,X,O,0.06136861816048622,0
16400,-1,1,O,X,0.058746613562107086,0
16401,1,-1,X,O,0.06441183388233185,0
16402,1,-1,O,X,0.13618630170822144,0
16403,1,-1,X,O,0.10067694634199142,0
16404,-1,1,O,X,0.08702357113361359,0
16405,1,-1,X,O,0.09676287323236465,0
16406,-1,1,O,X,0.10310065746307373,0
16407,1,-1,X,O,0.0693746954202652,0
16408,1,-1,O,X,0.10376977175474167,0
16409,1,-1,X,O,0.06486053764820099,0
16410,1,-1,O,X,0.08378755301237106,0
16411,1,-1,X,O,0.08137401193380356,0
16412,1,-1,O,X,0.09205089509487152,0
16413,1,-1,X,O,0.07158458977937698,0
16414,-1,1,O,X,0.06834274530410767,0
16415,1,-1,X,O,0.07312873005867004,0
16416,-1,1,O,X,0.10609422624111176,0
16417,1,-1,X,O,0.1019638180732727,0
16418,1,-1,O,X,0.08239704370498657,0
16419,-1,1,X,O,0.08046925812959671,0
16420,-1,1,O,X,0.08349590003490448,0
16421,1,-1,X,O,0.07749477028846741,0
16422,-1,1,O,X,0.09566416591405869,0
16423,1,-1,X,O,0.13371071219444275,0
16424,-1,1,O,X,0.07689370214939117,0
16425,1,-1,X,O,0.12037374079227448,0
16426,-1,1,O,X,0.06078159809112549,0
16427,1,-1,X,O,0.13488894701004028,0
16428,-1,1,O,X,0.06760846078395844,0
16429,0,0,X,O,0.08990989625453949,0
16430,-1,1,O,X,0.0855950266122818,0
16431,1,-1,X,O,0.08016925305128098,0
16432,-1,1,O,X,0.06687909364700317,0
16433,1,-1,X,O,0.10351817309856415,0
16434,-1,1,O,X,0.10108835995197296,0
16435,1,-1,X,O,0.04913851618766785,0
16436,1,-1,O,X,0.10124606639146805,0
16437,1,-1,X,O,0.07425457239151001,0
16438,1,-1,O,X,0.16164803504943848,0
16439,0,0,X,O,0.061487533152103424,0
16440,1,-1,O,X,0.09751105308532715,0
16441,-1,1,X,O,0.10030780732631683,0
16442,-1,1,O,X,0.09666135907173157,0
16443,1,-1,X,O,0.07262668013572693,0
16444,-1,1,O,X,0.1394893079996109,0
16445,1,-1,X,O,0.12425350397825241,0
16446,1,-1,O,X,0.07664690166711807,0
16447,1,-1,X,O,0.07758595049381256,0
16448,-1,1,O,X,0.1309051215648651,0
16449,1,-1,X,O,0.07546296715736389,0
16450,-1,1,O,X,0.06700488179922104,0
16451,1,-1,X,O,0.06282223761081696,0
16452,1,-1,O,X,0.058643095195293427,0
16453,-1,1,X,O,0.078093983232975,0
16454,-1,1,O,X,0.09336122870445251,0
16455,1,-1,X,O,0.08294004946947098,0
16456,1,-1,O,X,0.11704961955547333,0
16457,-1,1,X,O,0.10886920988559723,0
16458,1,-1,O,X,0.08959893882274628,0
16459,1,-1,X,O,0.10741586983203888,0
16460,-1,1,O,X,0.10336979478597641,0
