,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
19748,19749,X,O,0.0003374588559381664,0,-0.768,-0.844,0.0
19998,19999,X,O,0.00016119172505568713,0,-0.772,-0.928,0.0
248,249,X,O,0.02468283101916313,0,-1.0,-0.78,0.2
498,499,X,O,0.059081971645355225,0,-1.0,-0.956,0.2
748,749,X,O,0.027864329516887665,0,-1.0,-0.804,0.2
998,999,X,O,0.024003738537430763,0,-1.0,-0.956,0.2
1248,1249,X,O,0.040366388857364655,0,-1.0,-0.96,0.2
1498,1499,X,O,0.04442918300628662,0,-1.0,-0.984,0.2
1748,1749,X,O,0.03842373564839363,0,-1.0,-0.676,0.2
1998,1999,X,O,0.035301387310028076,0,-1.0,-0.844,0.2
2248,2249,X,O,0.0670376867055893,0,-1.0,-0.184,0.2
2498,2499,X,O,0.01989733800292015,0,-1.0,-0.904,0.2
2748,2749,X,O,0.03726832568645477,0,-1.0,-0.316,0.2
2998,2999,X,O,0.06729914247989655,0,-1.0,-0.876,0.2
3248,3249,X,O,0.016114484518766403,0,-0.772,-0.468,0.2
3498,3499,X,O,0.03878253698348999,0,-1.0,-0.812,0.2
3748,3749,X,O,0.04210972413420677,0,-1.0,-0.888,0.2
3998,3999,X,O,0.04575251787900925,0,-1.0,-0.896,0.2
4248,4249,X,O,0.04798442870378494,0,-1.0,-0.896,0.2
4498,4499,X,O,0.08104977756738663,0,-1.0,-0.896,0.2
4748,4749,X,O,0.03646266460418701,0,-1.0,-0.892,0.2
4998,4999,X,O,0.04592212289571762,0,-1.0,-0.836,0.2
5248,5249,X,O,0.06830380856990814,0,-1.0,-0.852,0.2
5498,5499,X,O,0.043430715799331665,0,-1.0,-0.808,0.2
5748,5749,X,O,0.0193666759878397,0,-1.0,-0.764,0.2
5998,5999,X,O,0.06049352511763573,0,-1.0,-0.68,0.2
6248,6249,X,O,0.05403647944331169,0,-1.0,-0.768,0.2
6498,6499,X,O,0.0549653135240078,0,-0.744,-0.548,0.2
6748,6749,X,O,0.07079032063484192,0,-0.772,-0.4,0.2
6998,6999,X,O,0.0465744324028492,0,-1.0,-0.74,0.2
7248,7249,X,O,0.057062819600105286,0,-0.736,-0.392,0.2
7498,7499,X,O,0.03865882009267807,0,-1.0,-0.612,0.2
7748,7749,X,O,0.02701037935912609,0,-0.8,-0.548,0.2
7998,7999,X,O,0.03932275250554085,0,-1.0,-0.468,0.2
8248,8249,X,O,0.03087460994720459,0,-1.0,-0.512,0.2
8498,8499,X,O,0.020396672189235687,0,-1.0,-0.728,0.2
8748,8749,X,O,0.052710894495248795,0,-1.0,-0.664,0.2
8998,8999,X,O,0.0962395891547203,0,-1.0,-0.612,0.2
9248,9249,X,O,0.044309101998806,0,-1.0,-0.544,0.2
9498,9499,X,O,0.06334720551967621,0,-1.0,-0.812,0.2
9748,9749,X,O,0.02276850864291191,0,-1.0,-0.744,0.2
9998,9999,X,O,0.0648164451122284,0,-1.0,-0.812,0.2
10248,10249,X,O,0.08775845170021057,0,-1.0,-0.824,0.2
10498,10499,X,O,0.0551319494843483,0,-1.0,-0.74,0.2
10748,10749,X,O,0.04363156110048294,0,-1.0,-0.772,0.2
10998,10999,X,O,0.01745408959686756,0,-1.0,-0.732,0.2
11248,11249,X,O,0.0516137070953846,0,-1.0,-0.712,0.2
11498,11499,X,O,0.017817500978708267,0,-1.0,-0.632,0.2
11748,11749,X,O,0.059933267533779144,0,-1.0,-0.804,0.2
11998,11999,X,O,0.029620088636875153,0,-1.0,-0.76,0.2
12248,12249,X,O,0.0625561773777008,0,-1.0,-0.704,0.2
12498,12499,X,O,0.017311060801148415,0,-1.0,-0.844,0.2
12748,12749,X,O,0.03993064910173416,0,-1.0,-0.832,0.2
12998,12999,X,O,0.030560187995433807,0,-1.0,-0.792,0.2
13248,13249,X,O,0.06010567769408226,0,-1.0,-0.84,0.2
13498,13499,X,O,0.05928194522857666,0,-1.0,-0.812,0.2
13748,13749,X,O,0.037856705486774445,0,-1.0,-0.744,0.2
13998,13999,X,O,0.04805782437324524,0,-1.0,-0.712,0.2
14248,14249,X,O,0.07469587028026581,0,-1.0,-0.648,0.2
14498,14499,X,O,0.03633919730782509,0,-1.0,-0.724,0.2
14748,14749,X,O,0.09520313143730164,0,-1.0,-0.728,0.2
14998,14999,X,O,0.04810027405619621,0,-1.0,-0.692,0.2
15248,15249,X,O,0.02151212841272354,0,-1.0,-0.588,0.2
15498,15499,X,O,0.014462750405073166,0,-1.0,-0.572,0.2
15748,15749,X,O,0.057307709008455276,0,-1.0,-0.512,0.2
15998,15999,X,O,0.04150352627038956,0,-1.0,-0.572,0.2
16248,16249,X,O,0.049732208251953125,0,-1.0,-0.444,0.2
16498,16499,X,O,0.06376033276319504,0,-1.0,-0.692,0.2
16748,16749,X,O,0.0426262728869915,0,-1.0,-0.608,0.2
16998,16999,X,O,0.05374779552221298,0,-1.0,-0.328,0.2
17248,17249,X,O,0.04812720790505409,0,-1.0,-0.72,0.2
17498,17499,X,O,0.048182107508182526,0,-1.0,-0.656,0.2
17748,17749,X,O,0.04242376238107681,0,-1.0,-0.664,0.2
17998,17999,X,O,0.012108963914215565,0,-1.0,-0.7,0.2
18248,18249,X,O,0.051236364990472794,0,-1.0,-0.704,0.2
18498,18499,X,O,0.02324632927775383,0,-1.0,-0.496,0.2
18748,18749,X,O,0.038947295397520065,0,-1.0,-0.564,0.2
18998,18999,X,O,0.010133560746908188,0,-1.0,-0.404,0.2
19248,19249,X,O,0.04871935397386551,0,-0.876,-0.5,0.2
19498,19499,X,O,0.027360549196600914,0,-0.848,-0.524,0.2
19748,19749,X,O,0.07457928359508514,0,-1.0,-0.436,0.2
19998,19999,X,O,0.08392202854156494,0,-1.0,-0.584,0.2
248,249,X,O,0.043292827904224396,0,-1.0,-0.836,0.4
498,499,X,O,0.040308862924575806,0,-1.0,-0.396,0.4
748,749,X,O,0.05147150903940201,0,-1.0,-0.272,0.4
998,999,X,O,0.04881506413221359,0,-1.0,-0.22,0.4
1248,1249,X,O,0.057023465633392334,0,-1.0,-0.556,0.4
1498,1499,X,O,0.0544469989836216,0,-0.54,-0.5,0.4
1748,1749,X,O,0.033419813960790634,0,-0.516,-0.424,0.4
1998,1999,X,O,0.07984410226345062,0,-1.0,-0.352,0.4
2248,2249,X,O,0.061315324157476425,0,-1.0,-0.8,0.4
2498,2499,X,O,0.07985877990722656,0,-1.0,-0.688,0.4
2748,2749,X,O,0.06690958142280579,0,-1.0,-0.788,0.4
2998,2999,X,O,0.0602402538061142,0,-1.0,-0.152,0.4
3248,3249,X,O,0.06489509344100952,0,-0.484,-0.38,0.4
3498,3499,X,O,0.09821388125419617,0,-0.796,-0.408,0.4
3748,3749,X,O,0.06732618808746338,0,-1.0,-0.452,0.4
3998,3999,X,O,0.05607698857784271,0,-1.0,-0.42,0.4
4248,4249,X,O,0.08909136801958084,0,-1.0,-0.416,0.4
4498,4499,X,O,0.047763943672180176,0,-0.56,-0.524,0.4
4748,4749,X,O,0.08829687535762787,0,-0.764,-0.652,0.4
4998,4999,X,O,0.057903096079826355,0,-0.78,-0.576,0.4
5248,5249,X,O,0.030545009300112724,0,-1.0,-0.892,0.4
5498,5499,X,O,0.08154290169477463,0,-0.5,-0.4,0.4
5748,5749,X,O,0.05888282507658005,0,-0.54,-0.344,0.4
5998,5999,X,O,0.0480773001909256,0,-0.76,-0.272,0.4
6248,6249,X,O,0.06035100668668747,0,-0.812,-0.364,0.4
6498,6499,X,O,0.06660082191228867,0,-0.74,-0.292,0.4
6748,6749,X,O,0.06211840733885765,0,-1.0,-0.472,0.4
6998,6999,X,O,0.045569851994514465,0,-0.692,-0.292,0.4
7248,7249,X,O,0.0765128880739212,0,-1.0,-0.304,0.4
7498,7499,X,O,0.08693867921829224,0,-1.0,-0.284,0.4
7748,7749,X,O,0.07479767501354218,0,-1.0,-0.324,0.4
