,game,reward_1,reward_2,player_1,player_2,player_1_opt,player_1_rand,eps
8749,8750,0,0,O,X,-1.0,0.34,0.2
8999,9000,-1,1,O,X,-1.0,0.384,0.2
9249,9250,0,0,O,X,-1.0,0.336,0.2
9499,9500,-1,1,O,X,-1.0,0.392,0.2
9749,9750,-1,1,O,X,-1.0,0.392,0.2
9999,10000,-1,1,O,X,-1.0,0.35,0.2
10249,10250,-1,1,O,X,-1.0,0.346,0.2
10499,10500,-1,1,O,X,-1.0,0.29,0.2
10749,10750,-1,1,O,X,-1.0,0.308,0.2
10999,11000,-1,1,O,X,-1.0,0.32,0.2
11249,11250,-1,1,O,X,-1.0,0.298,0.2
11499,11500,-1,1,O,X,-1.0,0.368,0.2
11749,11750,-1,1,O,X,-1.0,0.312,0.2
11999,12000,-1,1,O,X,-1.0,0.366,0.2
12249,12250,-1,1,O,X,-1.0,0.402,0.2
12499,12500,-1,1,O,X,-1.0,0.32,0.2
12749,12750,-1,1,O,X,-1.0,0.304,0.2
12999,13000,0,0,O,X,-1.0,0.26,0.2
13249,13250,-1,1,O,X,-1.0,0.36,0.2
13499,13500,-1,1,O,X,-1.0,0.324,0.2
13749,13750,-1,1,O,X,-1.0,0.358,0.2
13999,14000,0,0,O,X,-1.0,0.368,0.2
14249,14250,-1,1,O,X,-1.0,0.434,0.2
14499,14500,1,-1,O,X,-1.0,0.334,0.2
14749,14750,-1,1,O,X,-1.0,0.34,0.2
14999,15000,-1,1,O,X,-1.0,0.38,0.2
15249,15250,-1,1,O,X,-1.0,0.4,0.2
15499,15500,0,0,O,X,-1.0,0.36,0.2
15749,15750,-1,1,O,X,-1.0,0.358,0.2
15999,16000,-1,1,O,X,-1.0,0.306,0.2
16249,16250,0,0,O,X,-1.0,0.324,0.2
16499,16500,-1,1,O,X,-1.0,0.352,0.2
16749,16750,-1,1,O,X,-1.0,0.396,0.2
16999,17000,-1,1,O,X,-1.0,0.414,0.2
17249,17250,-1,1,O,X,-1.0,0.332,0.2
17499,17500,1,-1,O,X,-1.0,0.38,0.2
17749,17750,-1,1,O,X,-1.0,0.314,0.2
17999,18000,-1,1,O,X,-1.0,0.4,0.2
18249,18250,-1,1,O,X,-1.0,0.402,0.2
18499,18500,-1,1,O,X,-1.0,0.348,0.2
18749,18750,-1,1,O,X,-1.0,0.386,0.2
18999,19000,-1,1,O,X,-1.0,0.326,0.2
19249,19250,-1,1,O,X,-1.0,0.382,0.2
19499,19500,-1,1,O,X,-1.0,0.388,0.2
19749,19750,-1,1,O,X,-1.0,0.406,0.2
249,250,-1,1,O,X,-1.0,0.256,0.4
499,500,0,0,O,X,-1.0,0.268,0.4
749,750,-1,1,O,X,-1.0,0.192,0.4
999,1000,-1,1,O,X,-1.0,0.286,0.4
1249,1250,-1,1,O,X,-1.0,0.304,0.4
1499,1500,-1,1,O,X,-1.0,0.356,0.4
1749,1750,-1,1,O,X,-1.0,0.354,0.4
1999,2000,-1,1,O,X,-1.0,0.322,0.4
2249,2250,-1,1,O,X,-1.0,0.318,0.4
2499,2500,-1,1,O,X,-1.0,0.332,0.4
2749,2750,-1,1,O,X,-1.0,0.306,0.4
2999,3000,0,0,O,X,-1.0,0.388,0.4
3249,3250,1,-1,O,X,-1.0,0.3,0.4
3499,3500,-1,1,O,X,-1.0,0.374,0.4
3749,3750,-1,1,O,X,-1.0,0.378,0.4
3999,4000,-1,1,O,X,-1.0,0.444,0.4
4249,4250,-1,1,O,X,-1.0,0.374,0.4
4499,4500,-1,1,O,X,-1.0,0.356,0.4
4749,4750,-1,1,O,X,-1.0,0.446,0.4
4999,5000,-1,1,O,X,-1.0,0.396,0.4
5249,5250,-1,1,O,X,-1.0,0.462,0.4
5499,5500,1,-1,O,X,-1.0,0.33,0.4
5749,5750,-1,1,O,X,-1.0,0.39,0.4
5999,6000,-1,1,O,X,-1.0,0.454,0.4
6249,6250,0,0,O,X,-1.0,0.41,0.4
6499,6500,1,-1,O,X,-1.0,0.452,0.4
6749,6750,-1,1,O,X,-1.0,0.38,0.4
6999,7000,1,-1,O,X,-1.0,0.462,0.4
7249,7250,1,-1,O,X,-1.0,0.456,0.4
7499,7500,-1,1,O,X,-1.0,0.458,0.4
7749,7750,0,0,O,X,-1.0,0.378,0.4
7999,8000,-1,1,O,X,-1.0,0.408,0.4
8249,8250,-1,1,O,X,-1.0,0.418,0.4
8499,8500,1,-1,O,X,-1.0,0.374,0.4
8749,8750,-1,1,O,X,-1.0,0.41,0.4
8999,9000,-1,1,O,X,-1.0,0.508,0.4
9249,9250,-1,1,O,X,-1.0,0.444,0.4
9499,9500,1,-1,O,X,-1.0,0.444,0.4
9749,9750,1,-1,O,X,-1.0,0.462,0.4
9999,10000,-1,1,O,X,-1.0,0.436,0.4
10249,10250,1,-1,O,X,-1.0,0.458,0.4
10499,10500,-1,1,O,X,-1.0,0.486,0.4
10749,10750,-1,1,O,X,-1.0,0.482,0.4
10999,11000,-1,1,O,X,-1.0,0.386,0.4
11249,11250,-1,1,O,X,-1.0,0.458,0.4
11499,11500,-1,1,O,X,-1.0,0.51,0.4
11749,11750,-1,1,O,X,-1.0,0.462,0.4
11999,12000,-1,1,O,X,-1.0,0.43,0.4
12249,12250,-1,1,O,X,-1.0,0.448,0.4
12499,12500,-1,1,O,X,-1.0,0.522,0.4
12749,12750,-1,1,O,X,-1.0,0.544,0.4
12999,13000,0,0,O,X,-1.0,0.41,0.4
13249,13250,0,0,O,X,-1.0,0.436,0.4
13499,13500,-1,1,O,X,-1.0,0.464,0.4
13749,13750,-1,1,O,X,-1.0,0.478,0.4
13999,14000,-1,1,O,X,-1.0,0.42,0.4
14249,14250,-1,1,O,X,-1.0,0.484,0.4
14499,14500,-1,1,O,X,-1.0,0.422,0.4
14749,14750,-1,1,O,X,-1.0,0.384,0.4
14999,15000,-1,1,O,X,-1.0,0.382,0.4
15249,15250,-1,1,O,X,-1.0,0.44,0.4
15499,15500,-1,1,O,X,-1.0,0.484,0.4
15749,15750,-1,1,O,X,-1.0,0.43,0.4
15999,16000,-1,1,O,X,-1.0,0.446,0.4
16249,16250,-1,1,O,X,-1.0,0.448,0.4
16499,16500,-1,1,O,X,-1.0,0.426,0.4
16749,16750,-1,1,O,X,-1.0,0.506,0.4
16999,17000,-1,1,O,X,-1.0,0.438,0.4
17249,17250,-1,1,O,X,-1.0,0.436,0.4
17499,17500,-1,1,O,X,-1.0,0.398,0.4
17749,17750,1,-1,O,X,-1.0,0.458,0.4
17999,18000,1,-1,O,X,-1.0,0.452,0.4
18249,18250,-1,1,O,X,-1.0,0.44,0.4
18499,18500,1,-1,O,X,-1.0,0.458,0.4
18749,18750,1,-1,O,X,-1.0,0.396,0.4
18999,19000,-1,1,O,X,-1.0,0.472,0.4
19249,19250,-1,1,O,X,-1.0,0.384,0.4
19499,19500,1,-1,O,X,-1.0,0.464,0.4
19749,19750,-1,1,O,X,-1.0,0.43,0.4
249,250,-1,1,O,X,-1.0,0.27,0.5
