game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
1,1,-1,X,O,0.28336626,0
2,-1,1,O,X,0.6357751,0
3,-1,1,X,O,0.7503855,0
4,-1,1,O,X,0.6598464,0
5,-1,1,X,O,0.9673866,0
6,-1,1,O,X,0.5787226,0
7,-1,1,X,O,0.78894806,0
8,-1,1,O,X,0.6228497,0
9,-1,1,X,O,0.71149063,0
10,-1,1,O,X,0.690573,0
11,-1,1,X,O,0.70716655,0
12,-1,1,O,X,0.6397916,0
13,-1,1,X,O,0.75307643,0
14,-1,1,O,X,0.6097815,0
15,-1,1,X,O,0.6205008,0
16,-1,1,O,X,0.6565926,0
17,-1,1,X,O,0.67018235,0
18,-1,1,O,X,0.52903676,0
19,-1,1,X,O,0.59121954,0
20,-1,1,O,X,0.5992763,0
21,-1,1,X,O,0.659837,0
22,-1,1,O,X,0.5833099,0
23,-1,1,X,O,0.64747906,0
24,-1,1,O,X,0.4397633,0
25,-1,1,X,O,0.5534729,0
26,-1,1,O,X,0.42189044,0
27,-1,1,X,O,0.60646904,0
28,-1,1,O,X,0.562407,0
29,-1,1,X,O,0.5887443,0
30,-1,1,O,X,0.58186984,0
31,1,-1,X,O,0.40921584,0
32,-1,1,O,X,0.5733969,0
33,-1,1,X,O,0.5959228,0
34,-1,1,O,X,0.560197,0
35,-1,1,X,O,0.59445155,0
36,-1,1,O,X,0.49771973,0
37,-1,1,X,O,0.5886079,0
38,-1,1,O,X,0.43455145,0
39,1,-1,X,O,0.48982066,0
40,-1,1,O,X,0.6251967,0
41,-1,1,X,O,0.5413947,0
42,-1,1,O,X,0.6107776,0
43,-1,1,X,O,0.46921986,0
44,-1,1,O,X,0.2920475,0
45,-1,1,X,O,0.41641837,0
46,-1,1,O,X,0.45328656,0
47,-1,1,X,O,0.5489824,0
48,-1,1,O,X,0.62520516,0
49,-1,1,X,O,0.5195476,0
50,-1,1,O,X,0.50201404,0
51,-1,1,X,O,0.5233178,0
52,-1,1,O,X,0.51765704,0
53,-1,1,X,O,0.49158236,0
54,-1,1,O,X,0.44348526,0
55,-1,1,X,O,0.5506551,0
56,-1,1,O,X,0.4920169,0
57,-1,1,X,O,0.50583124,0
58,-1,1,O,X,0.48638543,0
59,-1,1,X,O,0.41504616,0
60,-1,1,O,X,0.3933142,0
61,1,-1,X,O,0.01347062,0
62,-1,1,O,X,0.2524052,0
63,-1,1,X,O,0.4629355,0
64,-1,1,O,X,0.45611593,0
65,-1,1,X,O,0.5681002,0
66,-1,1,O,X,0.31144598,0
67,1,-1,X,O,0.018243873,0
68,-1,1,O,X,0.46398824,0
69,-1,1,X,O,0.3723457,0
70,-1,1,O,X,0.4114547,0
71,-1,1,X,O,0.48984337,0
72,-1,1,O,X,0.3814797,0
73,-1,1,X,O,0.5203974,0
74,1,-1,O,X,0.48970562,0
75,-1,1,X,O,0.26085818,0
76,-1,1,O,X,0.4355288,0
77,-1,1,X,O,0.51558864,0
78,-1,1,O,X,0.49294108,0
79,1,-1,X,O,0.571717,0
80,-1,1,O,X,0.50440216,0
81,0,0,X,O,0.3929355,0
82,-1,1,O,X,0.52194893,0
83,-1,1,X,O,0.4108038,0
84,-1,1,O,X,0.43469355,0
85,-1,1,X,O,0.36579928,0
86,-1,1,O,X,0.31031364,0
87,1,-1,X,O,0.5214193,0
88,-1,1,O,X,0.34040862,0
89,0,0,X,O,0.22690563,0
90,-1,1,O,X,0.39358127,0
91,-1,1,X,O,0.38417137,0
92,-1,1,O,X,0.47613636,0
93,-1,1,X,O,0.38633004,0
94,-1,1,O,X,0.35984108,0
95,-1,1,X,O,0.46324205,0
96,-1,1,O,X,0.4975305,0
97,-1,1,X,O,0.40151563,0
98,-1,1,O,X,0.34393573,0
99,-1,1,X,O,0.2745578,0
100,-1,1,O,X,0.39413282,0
101,-1,1,X,O,0.40356487,0
102,-1,1,O,X,0.36551914,0
103,-1,1,X,O,0.34280953,0
104,-1,1,O,X,0.53587127,0
105,-1,1,X,O,0.3010061,0
106,-1,1,O,X,0.5563284,0
