,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
14998,14999,1,-1,X,O,0.06515416502952576,0.06436514854431152,-0.412,0.45,0.0
15248,15249,-1,1,X,O,0.041479792445898056,0.09330935031175613,-0.528,0.288,0.0
15498,15499,-1,1,X,O,0.04935825988650322,0.0839361846446991,-0.654,0.454,0.0
15748,15749,-1,1,X,O,0.06457137316465378,0.056440580636262894,-0.852,0.278,0.0
15998,15999,1,-1,X,O,0.121152862906456,0.023202355951070786,-1.0,0.27,0.0
16248,16249,-1,1,X,O,0.02404133602976799,0.058587025851011276,-0.732,0.28,0.0
16498,16499,0,0,X,O,0.025692125782370567,0.028215451166033745,-0.72,0.264,0.0
16748,16749,-1,1,X,O,0.03421732410788536,0.03485754132270813,-0.818,0.238,0.0
16998,16999,-1,1,X,O,0.046672798693180084,0.04183772951364517,-0.736,0.398,0.0
17248,17249,-1,1,X,O,0.030558520928025246,0.06327229738235474,-0.754,0.246,0.0
17498,17499,-1,1,X,O,0.0634816586971283,0.03964070975780487,-0.634,0.224,0.0
17748,17749,-1,1,X,O,0.044860661029815674,0.0387708805501461,-0.728,0.32,0.0
17998,17999,-1,1,X,O,0.012077948078513145,0.017603732645511627,-0.754,0.386,0.0
18248,18249,-1,1,X,O,0.047562289983034134,0.04505683109164238,-0.758,0.268,0.0
18498,18499,-1,1,X,O,0.03493901342153549,0.03058258630335331,-0.874,0.394,0.0
18748,18749,-1,1,X,O,0.05358287692070007,0.06559862196445465,-0.858,0.342,0.0
18998,18999,0,0,X,O,0.04459524154663086,0.054013460874557495,-0.758,0.31,0.0
19248,19249,0,0,X,O,0.018148964270949364,0.05160414054989815,-1.0,0.342,0.0
19498,19499,-1,1,X,O,0.04267193377017975,0.0549064502120018,-0.972,0.206,0.0
19748,19749,1,-1,X,O,0.036214470863342285,0.048549894243478775,-1.0,-0.138,0.0
19998,19999,-1,1,X,O,0.03912436589598656,0.06105128675699234,-0.836,0.206,0.0
248,249,1,-1,X,O,0.06297555565834045,0.06943333894014359,-1.0,0.432,0.2
498,499,1,-1,X,O,0.06998604536056519,0.10897621512413025,-1.0,0.326,0.2
748,749,1,-1,X,O,0.09864413738250732,0.1084049642086029,-1.0,0.616,0.2
998,999,-1,1,X,O,0.06783382594585419,0.08849041163921356,-1.0,0.852,0.2
1248,1249,1,-1,X,O,0.10283806920051575,0.10918859392404556,-0.822,0.78,0.2
1498,1499,1,-1,X,O,0.060210175812244415,0.06679874658584595,-0.916,0.772,0.2
1748,1749,-1,1,X,O,0.07830197364091873,0.07021127641201019,-0.89,0.816,0.2
1998,1999,-1,1,X,O,0.06784909963607788,0.07040011882781982,-1.0,0.748,0.2
2248,2249,-1,1,X,O,0.08895181864500046,0.0812644362449646,-0.522,0.778,0.2
2498,2499,1,-1,X,O,0.07747460156679153,0.07139623165130615,-0.804,0.856,0.2
2748,2749,-1,1,X,O,0.0654987096786499,0.12004762142896652,-0.904,0.812,0.2
2998,2999,0,0,X,O,0.08704538643360138,0.05508040636777878,-0.808,0.872,0.2
3248,3249,-1,1,X,O,0.0771939679980278,0.15317025780677795,-1.0,0.88,0.2
3498,3499,-1,1,X,O,0.09383776038885117,0.061193108558654785,-0.282,0.852,0.2
3748,3749,1,-1,X,O,0.1132667064666748,0.11264798045158386,-0.884,0.786,0.2
3998,3999,-1,1,X,O,0.03888174146413803,0.0717834085226059,-0.116,0.862,0.2
4248,4249,1,-1,X,O,0.06834473460912704,0.055657271295785904,-0.096,0.894,0.2
4498,4499,0,0,X,O,0.10557518899440765,0.07010453939437866,-0.596,0.854,0.2
4748,4749,1,-1,X,O,0.062377750873565674,0.05454462021589279,-0.5,0.768,0.2
4998,4999,0,0,X,O,0.05742577463388443,0.07365232706069946,-0.774,0.798,0.2
5248,5249,1,-1,X,O,0.06694546341896057,0.08949245512485504,-0.294,0.892,0.2
5498,5499,-1,1,X,O,0.12162190675735474,0.12908539175987244,-0.276,0.822,0.2
5748,5749,-1,1,X,O,0.09196116030216217,0.08389785140752792,-0.602,0.852,0.2
5998,5999,-1,1,X,O,0.13276050984859467,0.0754113644361496,-0.806,0.852,0.2
6248,6249,1,-1,X,O,0.08893382549285889,0.14380291104316711,-0.8,0.822,0.2
6498,6499,-1,1,X,O,0.06787179410457611,0.049802251160144806,-0.606,0.87,0.2
6748,6749,1,-1,X,O,0.040640104562044144,0.07203349471092224,-0.606,0.84,0.2
6998,6999,1,-1,X,O,0.11859064549207687,0.08759680390357971,-0.28,0.876,0.2
7248,7249,1,-1,X,O,0.07369354367256165,0.07663003355264664,-0.164,0.922,0.2
7498,7499,0,0,X,O,0.0661819726228714,0.09757165610790253,-0.69,0.888,0.2
7748,7749,-1,1,X,O,0.07866596430540085,0.0664992704987526,-0.562,0.918,0.2
7998,7999,-1,1,X,O,0.05710018053650856,0.06555633246898651,-0.676,0.91,0.2
8248,8249,0,0,X,O,0.07459600269794464,0.08652409166097641,-0.702,0.902,0.2
8498,8499,-1,1,X,O,0.12798553705215454,0.09723008424043655,-0.5,0.788,0.2
8748,8749,-1,1,X,O,0.0609125941991806,0.041355594992637634,0.5,0.812,0.2
8998,8999,1,-1,X,O,0.12379031628370285,0.0618460476398468,-0.702,0.902,0.2
9248,9249,1,-1,X,O,0.07030825316905975,0.05811965838074684,-0.698,0.914,0.2
9498,9499,1,-1,X,O,0.10240407288074493,0.09257771074771881,0.5,0.88,0.2
9748,9749,-1,1,X,O,0.10521194338798523,0.1049191877245903,-0.5,0.884,0.2
9998,9999,1,-1,X,O,0.03921176493167877,0.09307152777910233,0.5,0.9,0.2
10248,10249,-1,1,X,O,0.12095153331756592,0.06644231081008911,0.5,0.87,0.2
10498,10499,-1,1,X,O,0.07758064568042755,0.05637718737125397,-0.188,0.848,0.2
10748,10749,1,-1,X,O,0.07500652968883514,0.11343666911125183,-0.7,0.818,0.2
10998,10999,1,-1,X,O,0.03124481812119484,0.08253730088472366,-0.222,0.878,0.2
11248,11249,1,-1,X,O,0.05041293054819107,0.08260270953178406,-0.466,0.876,0.2
11498,11499,0,0,X,O,0.07997466623783112,0.07556433975696564,-0.7,0.906,0.2
11748,11749,1,-1,X,O,0.092018723487854,0.13721542060375214,-0.5,0.866,0.2
11998,11999,-1,1,X,O,0.11869965493679047,0.05230962857604027,-0.678,0.884,0.2
12248,12249,-1,1,X,O,0.0818912461400032,0.12345832586288452,0.0,0.844,0.2
12498,12499,1,-1,X,O,0.05477557331323624,0.0872269943356514,-0.5,0.8,0.2
12748,12749,1,-1,X,O,0.06760415434837341,0.07852496206760406,-0.9,0.784,0.2
12998,12999,-1,1,X,O,0.12583357095718384,0.047062262892723083,0.306,0.756,0.2
13248,13249,1,-1,X,O,0.07923047244548798,0.08570362627506256,-0.61,0.838,0.2
13498,13499,1,-1,X,O,0.07176850736141205,0.11055686324834824,-0.5,0.772,0.2
13748,13749,-1,1,X,O,0.09295633435249329,0.05199835076928139,-0.218,0.856,0.2
13998,13999,-1,1,X,O,0.04994291812181473,0.07286174595355988,-0.684,0.856,0.2
