,game,reward_1,reward_2,player_1,player_2,player_1_opt,player_1_rand,n_star
10749,10750,-1,1,O,X,-1.0,0.454,10000
10999,11000,-1,1,O,X,-1.0,0.44,10000
11249,11250,-1,1,O,X,-1.0,0.38,10000
11499,11500,-1,1,O,X,-1.0,0.394,10000
11749,11750,-1,1,O,X,-1.0,0.436,10000
11999,12000,-1,1,O,X,-1.0,0.364,10000
12249,12250,-1,1,O,X,-1.0,0.462,10000
12499,12500,0,0,O,X,-1.0,0.374,10000
12749,12750,-1,1,O,X,-1.0,0.48,10000
12999,13000,-1,1,O,X,-1.0,0.408,10000
13249,13250,0,0,O,X,-1.0,0.442,10000
13499,13500,-1,1,O,X,-1.0,0.472,10000
13749,13750,-1,1,O,X,-1.0,0.454,10000
13999,14000,-1,1,O,X,-1.0,0.404,10000
14249,14250,-1,1,O,X,-1.0,0.402,10000
14499,14500,-1,1,O,X,-1.0,0.392,10000
14749,14750,0,0,O,X,-1.0,0.446,10000
14999,15000,0,0,O,X,-1.0,0.42,10000
15249,15250,-1,1,O,X,-1.0,0.388,10000
15499,15500,-1,1,O,X,-1.0,0.458,10000
15749,15750,-1,1,O,X,-1.0,0.388,10000
15999,16000,-1,1,O,X,-1.0,0.446,10000
16249,16250,0,0,O,X,-1.0,0.438,10000
16499,16500,-1,1,O,X,-1.0,0.376,10000
16749,16750,-1,1,O,X,-1.0,0.44,10000
16999,17000,-1,1,O,X,-1.0,0.482,10000
17249,17250,-1,1,O,X,-1.0,0.41,10000
17499,17500,-1,1,O,X,-1.0,0.428,10000
17749,17750,-1,1,O,X,-1.0,0.42,10000
17999,18000,-1,1,O,X,-1.0,0.444,10000
18249,18250,-1,1,O,X,-1.0,0.454,10000
18499,18500,-1,1,O,X,-1.0,0.408,10000
18749,18750,0,0,O,X,-1.0,0.476,10000
18999,19000,-1,1,O,X,-1.0,0.416,10000
19249,19250,-1,1,O,X,-1.0,0.422,10000
19499,19500,-1,1,O,X,-1.0,0.372,10000
19749,19750,-1,1,O,X,-1.0,0.468,10000
249,250,1,-1,O,X,-1.0,0.268,20000
499,500,-1,1,O,X,-1.0,0.308,20000
749,750,1,-1,O,X,-1.0,0.328,20000
999,1000,0,0,O,X,-1.0,0.326,20000
1249,1250,-1,1,O,X,-1.0,0.278,20000
1499,1500,-1,1,O,X,-1.0,0.292,20000
1749,1750,-1,1,O,X,-1.0,0.374,20000
1999,2000,1,-1,O,X,-1.0,0.34,20000
2249,2250,-1,1,O,X,-1.0,0.38,20000
2499,2500,-1,1,O,X,-1.0,0.348,20000
2749,2750,-1,1,O,X,-1.0,0.35,20000
2999,3000,1,-1,O,X,-1.0,0.336,20000
3249,3250,0,0,O,X,-1.0,0.352,20000
3499,3500,-1,1,O,X,-1.0,0.428,20000
3749,3750,-1,1,O,X,-1.0,0.368,20000
3999,4000,-1,1,O,X,-1.0,0.38,20000
4249,4250,-1,1,O,X,-1.0,0.38,20000
4499,4500,0,0,O,X,-1.0,0.486,20000
4749,4750,1,-1,O,X,-1.0,0.436,20000
4999,5000,-1,1,O,X,-1.0,0.422,20000
5249,5250,0,0,O,X,-1.0,0.47,20000
5499,5500,-1,1,O,X,-1.0,0.426,20000
5749,5750,0,0,O,X,-1.0,0.392,20000
5999,6000,-1,1,O,X,-1.0,0.436,20000
6249,6250,-1,1,O,X,-1.0,0.452,20000
6499,6500,0,0,O,X,-1.0,0.482,20000
6749,6750,-1,1,O,X,-1.0,0.41,20000
6999,7000,-1,1,O,X,-1.0,0.474,20000
7249,7250,-1,1,O,X,-1.0,0.396,20000
7499,7500,-1,1,O,X,-1.0,0.42,20000
7749,7750,1,-1,O,X,-1.0,0.428,20000
7999,8000,1,-1,O,X,-1.0,0.406,20000
8249,8250,-1,1,O,X,-1.0,0.396,20000
8499,8500,-1,1,O,X,-1.0,0.496,20000
8749,8750,1,-1,O,X,-1.0,0.434,20000
8999,9000,-1,1,O,X,-1.0,0.474,20000
9249,9250,-1,1,O,X,-1.0,0.428,20000
9499,9500,-1,1,O,X,-1.0,0.468,20000
9749,9750,-1,1,O,X,-1.0,0.49,20000
9999,10000,1,-1,O,X,-1.0,0.516,20000
10249,10250,-1,1,O,X,-1.0,0.48,20000
10499,10500,0,0,O,X,-1.0,0.456,20000
10749,10750,-1,1,O,X,-1.0,0.44,20000
10999,11000,-1,1,O,X,-1.0,0.48,20000
11249,11250,-1,1,O,X,-1.0,0.478,20000
11499,11500,-1,1,O,X,-1.0,0.44,20000
11749,11750,-1,1,O,X,-1.0,0.476,20000
11999,12000,1,-1,O,X,-1.0,0.452,20000
12249,12250,-1,1,O,X,-1.0,0.482,20000
12499,12500,-1,1,O,X,-1.0,0.444,20000
12749,12750,-1,1,O,X,-1.0,0.516,20000
12999,13000,0,0,O,X,-1.0,0.42,20000
13249,13250,-1,1,O,X,-1.0,0.458,20000
13499,13500,-1,1,O,X,-1.0,0.428,20000
13749,13750,-1,1,O,X,-1.0,0.444,20000
13999,14000,-1,1,O,X,-1.0,0.398,20000
14249,14250,-1,1,O,X,-1.0,0.526,20000
14499,14500,-1,1,O,X,-1.0,0.422,20000
14749,14750,-1,1,O,X,-1.0,0.474,20000
14999,15000,-1,1,O,X,-1.0,0.432,20000
15249,15250,-1,1,O,X,-1.0,0.494,20000
15499,15500,-1,1,O,X,-1.0,0.472,20000
15749,15750,-1,1,O,X,-1.0,0.524,20000
15999,16000,1,-1,O,X,-1.0,0.48,20000
16249,16250,-1,1,O,X,-1.0,0.444,20000
16499,16500,-1,1,O,X,-1.0,0.358,20000
16749,16750,-1,1,O,X,-1.0,0.408,20000
16999,17000,-1,1,O,X,-1.0,0.446,20000
17249,17250,0,0,O,X,-1.0,0.396,20000
17499,17500,-1,1,O,X,-1.0,0.462,20000
17749,17750,-1,1,O,X,-1.0,0.476,20000
17999,18000,-1,1,O,X,-1.0,0.47,20000
18249,18250,-1,1,O,X,-1.0,0.466,20000
18499,18500,-1,1,O,X,-1.0,0.392,20000
18749,18750,-1,1,O,X,-1.0,0.508,20000
18999,19000,-1,1,O,X,-1.0,0.446,20000
19249,19250,-1,1,O,X,-1.0,0.416,20000
19499,19500,-1,1,O,X,-1.0,0.432,20000
19749,19750,-1,1,O,X,-1.0,0.444,20000
249,250,0,0,O,X,-1.0,0.164,40000
499,500,1,-1,O,X,-1.0,0.266,40000
749,750,-1,1,O,X,-1.0,0.24,40000
999,1000,-1,1,O,X,-1.0,0.336,40000
1249,1250,1,-1,O,X,-1.0,0.28,40000
1499,1500,-1,1,O,X,-1.0,0.316,40000
1749,1750,-1,1,O,X,-1.0,0.288,40000
1999,2000,-1,1,O,X,-1.0,0.372,40000
2249,2250,-1,1,O,X,-1.0,0.358,40000
2499,2500,-1,1,O,X,-1.0,0.326,40000
2749,2750,0,0,O,X,-1.0,0.4,40000
2999,3000,-1,1,O,X,-1.0,0.408,40000
3249,3250,-1,1,O,X,-1.0,0.362,40000
3499,3500,1,-1,O,X,-1.0,0.376,40000
3749,3750,1,-1,O,X,-1.0,0.402,40000
3999,4000,-1,1,O,X,-1.0,0.45,40000
4249,4250,-1,1,O,X,-1.0,0.35,40000
4499,4500,-1,1,O,X,-1.0,0.366,40000
4749,4750,-1,1,O,X,-1.0,0.336,40000
4999,5000,-1,1,O,X,-1.0,0.354,40000
5249,5250,-1,1,O,X,-1.0,0.366,40000
5499,5500,-1,1,O,X,-1.0,0.42,40000
5749,5750,-1,1,O,X,-1.0,0.35,40000
5999,6000,-1,1,O,X,-1.0,0.356,40000
6249,6250,-1,1,O,X,-1.0,0.37,40000
6499,6500,-1,1,O,X,-1.0,0.39,40000
6749,6750,-1,1,O,X,-1.0,0.438,40000
6999,7000,-1,1,O,X,-1.0,0.436,40000
7249,7250,-1,1,O,X,-1.0,0.408,40000
7499,7500,-1,1,O,X,-1.0,0.396,40000
7749,7750,-1,1,O,X,-1.0,0.382,40000
7999,8000,-1,1,O,X,-1.0,0.432,40000
8249,8250,0,0,O,X,-1.0,0.426,40000
8499,8500,-1,1,O,X,-1.0,0.448,40000
8749,8750,1,-1,O,X,-1.0,0.41,40000
8999,9000,-1,1,O,X,-1.0,0.378,40000
9249,9250,-1,1,O,X,-1.0,0.384,40000
9499,9500,-1,1,O,X,-1.0,0.422,40000
9749,9750,1,-1,O,X,-1.0,0.506,40000
9999,10000,-1,1,O,X,-1.0,0.472,40000
10249,10250,-1,1,O,X,-1.0,0.422,40000
10499,10500,-1,1,O,X,-1.0,0.444,40000
10749,10750,-1,1,O,X,-1.0,0.41,40000
10999,11000,-1,1,O,X,-1.0,0.424,40000
11249,11250,0,0,O,X,-1.0,0.478,40000
11499,11500,-1,1,O,X,-1.0,0.402,40000
11749,11750,-1,1,O,X,-1.0,0.43,40000
11999,12000,-1,1,O,X,-1.0,0.478,40000
