,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
248,249,X,O,0.014728923328220844,0,-1.0,-0.8,0.0
498,499,X,O,0.0018637486500665545,0,-1.0,-0.332,0.0
748,749,X,O,0.0016030061524361372,0,-0.976,-0.726,0.0
998,999,X,O,0.001296709175221622,0,-0.762,-0.488,0.0
1248,1249,X,O,0.0048254793509840965,0,-0.488,-0.608,0.0
1498,1499,X,O,0.0010173829505220056,0,0.0,-0.644,0.0
1748,1749,X,O,0.0020165052264928818,0,0.0,-0.42,0.0
1998,1999,X,O,0.002810242585837841,0,0.0,-0.42,0.0
2248,2249,X,O,0.0079432288184762,0,0.0,-0.484,0.0
2498,2499,X,O,0.0007401896291412413,0,0.0,-0.508,0.0
2748,2749,X,O,0.006330006290227175,0,-0.756,-0.6,0.0
2998,2999,X,O,0.000658994191326201,0,0.0,-0.384,0.0
3248,3249,X,O,0.00150205846875906,0,-0.144,-0.614,0.0
3498,3499,X,O,0.0009213729645125568,0,-0.16,-0.414,0.0
3748,3749,X,O,0.005707737989723682,0,0.0,-0.336,0.0
3998,3999,X,O,0.004519921261817217,0,0.116,-0.212,0.0
4248,4249,X,O,0.007885059341788292,0,0.0,-0.292,0.0
4498,4499,X,O,0.00022586679551750422,0,0.088,-0.32,0.0
4748,4749,X,O,0.0011588605120778084,0,0.2,-0.452,0.0
4998,4999,X,O,0.0011150168720632792,0,0.0,-0.196,0.0
5248,5249,X,O,0.0002517951070331037,0,0.08,-0.234,0.0
5498,5499,X,O,0.0007112966268323362,0,0.114,-0.2,0.0
5748,5749,X,O,0.00016288080951198936,0,0.0,-0.456,0.0
5998,5999,X,O,0.0007931704167276621,0,0.0,-0.27,0.0
6248,6249,X,O,0.0002531252976041287,0,0.0,-0.076,0.0
6498,6499,X,O,0.00020245465566404164,0,0.094,-0.348,0.0
6748,6749,X,O,0.0006643801461905241,0,0.0,-0.294,0.0
6998,6999,X,O,0.0008885386632755399,0,0.228,-0.306,0.0
7248,7249,X,O,0.0012654461897909641,0,0.0,-0.322,0.0
7498,7499,X,O,0.00023014727048575878,0,0.094,-0.426,0.0
7748,7749,X,O,0.0002684537321329117,0,0.08,-0.31,0.0
7998,7999,X,O,0.0022089469712227583,0,0.226,-0.282,0.0
8248,8249,X,O,0.000294458179268986,0,0.0,-0.34,0.0
8498,8499,X,O,0.0001981838868232444,0,0.106,-0.408,0.0
8748,8749,X,O,6.286177813308313e-05,0,0.212,-0.278,0.0
8998,8999,X,O,0.00015843912842683494,0,0.0,-0.426,0.0
9248,9249,X,O,0.000461455958429724,0,0.0,-0.266,0.0
9498,9499,X,O,9.211734868586063e-05,0,0.222,-0.304,0.0
9748,9749,X,O,0.0036262660287320614,0,0.122,-0.264,0.0
9998,9999,X,O,0.006020343396812677,0,0.22,-0.336,0.0
10248,10249,X,O,0.00021854871010873467,0,0.0,-0.24,0.0
10498,10499,X,O,0.00048465607687830925,0,0.196,-0.428,0.0
10748,10749,X,O,0.0003685434930957854,0,0.31,-0.33,0.0
10998,10999,X,O,0.00024340399249922484,0,0.0,-0.238,0.0
11248,11249,X,O,0.0010388583177700639,0,0.398,-0.356,0.0
11498,11499,X,O,0.000340628728736192,0,0.192,-0.478,0.0
11748,11749,X,O,0.00031133260927163064,0,0.0,-0.332,0.0
11998,11999,X,O,0.0020593334920704365,0,0.0,-0.156,0.0
12248,12249,X,O,0.00015770026948302984,0,0.114,-0.22,0.0
12498,12499,X,O,0.00042269419645890594,0,0.392,-0.272,0.0
12748,12749,X,O,0.00012390136544127017,0,0.0,-0.122,0.0
12998,12999,X,O,0.001668639131821692,0,0.0,-0.072,0.0
13248,13249,X,O,0.00016900914488360286,0,0.296,-0.23,0.0
13498,13499,X,O,0.0019009889801964164,0,0.396,-0.206,0.0
13748,13749,X,O,0.00029910169541835785,0,0.0,-0.284,0.0
13998,13999,X,O,0.0029491649474948645,0,0.188,-0.214,0.0
14248,14249,X,O,0.00013584160478785634,0,0.266,-0.168,0.0
14498,14499,X,O,0.00020697318541351706,0,0.094,-0.166,0.0
14748,14749,X,O,0.0004773515975102782,0,0.304,-0.226,0.0
14998,14999,X,O,8.516164234606549e-05,0,0.42,-0.344,0.0
15248,15249,X,O,0.000244910828769207,0,0.082,-0.072,0.0
15498,15499,X,O,0.0016209665918722749,0,0.0,-0.186,0.0
15748,15749,X,O,0.0002543805749155581,0,0.0,-0.172,0.0
15998,15999,X,O,0.0002680096949916333,0,0.178,-0.022,0.0
16248,16249,X,O,0.00014152542280498892,0,0.088,-0.344,0.0
16498,16499,X,O,0.00012647929543163627,0,0.0,-0.106,0.0
16748,16749,X,O,0.0005481928819790483,0,0.09,-0.106,0.0
16998,16999,X,O,0.0001427072420483455,0,0.38,-0.26,0.0
17248,17249,X,O,0.0003496792633086443,0,0.222,-0.214,0.0
17498,17499,X,O,0.0003012613451573998,0,0.0,-0.05,0.0
17748,17749,X,O,0.014649424701929092,0,0.0,-0.216,0.0
17998,17999,X,O,0.0015854139346629381,0,0.0,0.022,0.0
18248,18249,X,O,0.0005873814225196838,0,0.2,-0.338,0.0
18498,18499,X,O,0.00016378448344767094,0,0.0,-0.148,0.0
18748,18749,X,O,0.0001853406138252467,0,0.0,-0.224,0.0
18998,18999,X,O,0.00012340789544396102,0,0.194,-0.292,0.0
19248,19249,X,O,0.00547270942479372,0,0.0,-0.172,0.0
19498,19499,X,O,0.0001879802148323506,0,0.186,-0.334,0.0
19748,19749,X,O,0.005383459851145744,0,0.18,-0.184,0.0
19998,19999,X,O,4.962254752172157e-05,0,0.092,-0.236,0.0
248,249,X,O,0.017320916056632996,0,-1.0,-0.152,0.2
498,499,X,O,0.03663976490497589,0,-1.0,0.26,0.2
748,749,X,O,0.03199184685945511,0,0.0,0.382,0.2
998,999,X,O,0.06346956640481949,0,0.156,0.34,0.2
1248,1249,X,O,0.045539744198322296,0,0.0,0.42,0.2
1498,1499,X,O,0.037559833377599716,0,0.11,0.482,0.2
1748,1749,X,O,0.06157770752906799,0,0.0,0.496,0.2
1998,1999,X,O,0.04947095736861229,0,0.0,0.542,0.2
2248,2249,X,O,0.05461018905043602,0,0.0,0.604,0.2
2498,2499,X,O,0.051091015338897705,0,0.0,0.472,0.2
2748,2749,X,O,0.062370751053094864,0,-0.84,0.478,0.2
2998,2999,X,O,0.05089680850505829,0,-0.636,0.638,0.2
3248,3249,X,O,0.08112047612667084,0,-0.82,0.588,0.2
3498,3499,X,O,0.058682188391685486,0,-0.884,0.54,0.2
3748,3749,X,O,0.031466301530599594,0,-0.68,0.694,0.2
3998,3999,X,O,0.042373429983854294,0,-0.836,0.672,0.2
4248,4249,X,O,0.07716643810272217,0,-0.428,0.708,0.2
4498,4499,X,O,0.036073196679353714,0,-0.736,0.64,0.2
4748,4749,X,O,0.052985675632953644,0,-0.52,0.642,0.2
4998,4999,X,O,0.07423057407140732,0,-0.504,0.674,0.2
5248,5249,X,O,0.06561356782913208,0,-0.47,0.572,0.2
5498,5499,X,O,0.03993934392929077,0,-0.488,0.648,0.2
5748,5749,X,O,0.03572978079319,0,-0.33,0.628,0.2
5998,5999,X,O,0.03850691765546799,0,-0.656,0.708,0.2
6248,6249,X,O,0.06271909922361374,0,-0.392,0.658,0.2
6498,6499,X,O,0.06137210503220558,0,-0.52,0.746,0.2
6748,6749,X,O,0.047568827867507935,0,-0.464,0.732,0.2
6998,6999,X,O,0.09096255153417587,0,-0.192,0.596,0.2
7248,7249,X,O,0.04149335250258446,0,-0.468,0.73,0.2
7498,7499,X,O,0.09188136458396912,0,-0.492,0.658,0.2
7748,7749,X,O,0.12367099523544312,0,-0.408,0.586,0.2
7998,7999,X,O,0.05589267238974571,0,-0.304,0.606,0.2
8248,8249,X,O,0.07176919281482697,0,-0.226,0.65,0.2
8498,8499,X,O,0.0587691068649292,0,-0.324,0.694,0.2
8748,8749,X,O,0.03349575772881508,0,-0.444,0.732,0.2
8998,8999,X,O,0.07037840038537979,0,-0.408,0.66,0.2
9248,9249,X,O,0.034932009875774384,0,-0.428,0.658,0.2
9498,9499,X,O,0.027921751141548157,0,-0.232,0.682,0.2
9748,9749,X,O,0.04135444760322571,0,-0.15,0.514,0.2
9998,9999,X,O,0.08535131067037582,0,-0.34,0.654,0.2
10248,10249,X,O,0.1443854570388794,0,-0.376,0.73,0.2
10498,10499,X,O,0.07129471749067307,0,-0.14,0.672,0.2
10748,10749,X,O,0.05912475287914276,0,-0.31,0.702,0.2
10998,10999,X,O,0.05668571963906288,0,-0.428,0.802,0.2
11248,11249,X,O,0.09701012074947357,0,-0.416,0.708,0.2
11498,11499,X,O,0.05849272012710571,0,-0.248,0.61,0.2
11748,11749,X,O,0.0499398298561573,0,-0.37,0.776,0.2
11998,11999,X,O,0.05983087792992592,0,-0.266,0.74,0.2
12248,12249,X,O,0.07351721823215485,0,-0.114,0.658,0.2
12498,12499,X,O,0.11775751411914825,0,-0.42,0.76,0.2
12748,12749,X,O,0.08383084088563919,0,-0.092,0.722,0.2
12998,12999,X,O,0.04728114977478981,0,-0.392,0.792,0.2
13248,13249,X,O,0.042959682643413544,0,-0.36,0.674,0.2
13498,13499,X,O,0.07230700552463531,0,-0.344,0.754,0.2
13748,13749,X,O,0.06081119179725647,0,-0.104,0.782,0.2
13998,13999,X,O,0.04873146861791611,0,0.088,0.842,0.2
14248,14249,X,O,0.05136272683739662,0,-0.204,0.788,0.2
14498,14499,X,O,0.09819328039884567,0,-0.142,0.754,0.2
14748,14749,X,O,0.04507751390337944,0,-0.3,0.736,0.2
14998,14999,X,O,0.04095786064863205,0,-0.38,0.674,0.2
15248,15249,X,O,0.09394542872905731,0,-0.376,0.66,0.2
15498,15499,X,O,0.06725096702575684,0,-0.372,0.748,0.2
15748,15749,X,O,0.07778941094875336,0,-0.288,0.658,0.2
15998,15999,X,O,0.04751785844564438,0,-0.332,0.756,0.2
16248,16249,X,O,0.08360379934310913,0,-0.296,0.666,0.2
16498,16499,X,O,0.13846564292907715,0,-0.364,0.756,0.2
16748,16749,X,O,0.09463284909725189,0,-0.324,0.692,0.2
16998,16999,X,O,0.059991367161273956,0,-0.226,0.676,0.2
17248,17249,X,O,0.06902484595775604,0,-0.308,0.742,0.2
17498,17499,X,O,0.06625963002443314,0,-0.364,0.77,0.2
17748,17749,X,O,0.08111125230789185,0,-0.28,0.672,0.2
17998,17999,X,O,0.09447140246629715,0,-0.356,0.706,0.2
18248,18249,X,O,0.07235706597566605,0,-0.328,0.694,0.2
18498,18499,X,O,0.09817773103713989,0,-0.254,0.798,0.2
18748,18749,X,O,0.07381483912467957,0,-0.352,0.812,0.2
18998,18999,X,O,0.062324535101652145,0,-0.232,0.73,0.2
19248,19249,X,O,0.0729566290974617,0,-0.072,0.738,0.2
19498,19499,X,O,0.05860117822885513,0,-0.344,0.734,0.2
19748,19749,X,O,0.0684872642159462,0,-0.336,0.752,0.2
19998,19999,X,O,0.07585486769676208,0,-0.252,0.766,0.2
248,249,X,O,0.05136987566947937,0,-1.0,-0.624,0.4
498,499,X,O,0.0435778982937336,0,-0.822,0.214,0.4
748,749,X,O,0.04837506264448166,0,-1.0,0.416,0.4
998,999,X,O,0.04257023707032204,0,-1.0,0.678,0.4
1248,1249,X,O,0.07129782438278198,0,-0.826,0.714,0.4
1498,1499,X,O,0.056304819881916046,0,-1.0,0.748,0.4
1748,1749,X,O,0.09482520818710327,0,-1.0,0.742,0.4
1998,1999,X,O,0.1001751571893692,0,-1.0,0.818,0.4
2248,2249,X,O,0.06649211049079895,0,-0.75,0.712,0.4
2498,2499,X,O,0.06579438596963882,0,-0.882,0.71,0.4
2748,2749,X,O,0.052281931042671204,0,0.0,0.732,0.4
2998,2999,X,O,0.09244132041931152,0,0.0,0.678,0.4
3248,3249,X,O,0.05780830234289169,0,0.0,0.682,0.4
3498,3499,X,O,0.050227001309394836,0,0.0,0.738,0.4
3748,3749,X,O,0.08025584369897842,0,0.0,0.816,0.4
3998,3999,X,O,0.0626882016658783,0,-0.386,0.786,0.4
4248,4249,X,O,0.08609239757061005,0,0.0,0.794,0.4
4498,4499,X,O,0.07863122224807739,0,0.0,0.786,0.4
4748,4749,X,O,0.0674227923154831,0,0.0,0.708,0.4
4998,4999,X,O,0.08555327355861664,0,0.0,0.764,0.4
5248,5249,X,O,0.09930582344532013,0,-0.764,0.71,0.4
5498,5499,X,O,0.04640989378094673,0,0.0,0.592,0.4
5748,5749,X,O,0.09965269267559052,0,0.0,0.7,0.4
5998,5999,X,O,0.07523989677429199,0,0.0,0.774,0.4
6248,6249,X,O,0.10531741380691528,0,0.0,0.704,0.4
6498,6499,X,O,0.10390731692314148,0,0.088,0.72,0.4
6748,6749,X,O,0.0896354466676712,0,0.108,0.748,0.4
6998,6999,X,O,0.06753416359424591,0,-0.518,0.778,0.4
7248,7249,X,O,0.11045998334884644,0,-0.434,0.742,0.4
7498,7499,X,O,0.0792323425412178,0,-0.688,0.728,0.4
7748,7749,X,O,0.06694994121789932,0,-0.644,0.636,0.4
7998,7999,X,O,0.05572652816772461,0,-0.528,0.79,0.4
8248,8249,X,O,0.10395406931638718,0,-0.436,0.752,0.4
8498,8499,X,O,0.09763562679290771,0,-0.548,0.788,0.4
8748,8749,X,O,0.09567561745643616,0,-0.616,0.794,0.4
8998,8999,X,O,0.11070911586284637,0,-0.752,0.864,0.4
9248,9249,X,O,0.07621149718761444,0,-0.716,0.848,0.4
9498,9499,X,O,0.08056183159351349,0,-0.5,0.78,0.4
9748,9749,X,O,0.09370313584804535,0,-0.746,0.83,0.4
9998,9999,X,O,0.08887795358896255,0,-0.484,0.784,0.4
10248,10249,X,O,0.120136559009552,0,-0.624,0.85,0.4
10498,10499,X,O,0.06047350540757179,0,-0.756,0.878,0.4
10748,10749,X,O,0.11237012594938278,0,-0.39,0.816,0.4
10998,10999,X,O,0.04695361480116844,0,-0.39,0.79,0.4
11248,11249,X,O,0.06085783988237381,0,-0.584,0.718,0.4
11498,11499,X,O,0.05625632777810097,0,-0.292,0.826,0.4
11748,11749,X,O,0.09168614447116852,0,0.0,0.796,0.4
11998,11999,X,O,0.09750300645828247,0,0.0,0.834,0.4
12248,12249,X,O,0.039006542414426804,0,0.0,0.784,0.4
12498,12499,X,O,0.0487787202000618,0,0.0,0.772,0.4
12748,12749,X,O,0.12256044894456863,0,0.0,0.808,0.4
12998,12999,X,O,0.1428140103816986,0,0.176,0.762,0.4
13248,13249,X,O,0.08486703038215637,0,0.0,0.844,0.4
13498,13499,X,O,0.07272998988628387,0,0.0,0.79,0.4
13748,13749,X,O,0.062079302966594696,0,0.088,0.76,0.4
13998,13999,X,O,0.07655125111341476,0,0.0,0.862,0.4
14248,14249,X,O,0.05985993146896362,0,0.0,0.808,0.4
14498,14499,X,O,0.05887699872255325,0,0.0,0.82,0.4
14748,14749,X,O,0.04931556060910225,0,0.0,0.79,0.4
14998,14999,X,O,0.0787353366613388,0,0.0,0.78,0.4
15248,15249,X,O,0.049507055431604385,0,0.0,0.746,0.4
15498,15499,X,O,0.07831773906946182,0,0.0,0.746,0.4
15748,15749,X,O,0.08206966519355774,0,0.226,0.764,0.4
15998,15999,X,O,0.1388542354106903,0,0.202,0.79,0.4
16248,16249,X,O,0.100481316447258,0,0.0,0.79,0.4
16498,16499,X,O,0.1147785633802414,0,0.0,0.812,0.4
16748,16749,X,O,0.07793880254030228,0,0.0,0.766,0.4
16998,16999,X,O,0.07950548082590103,0,0.0,0.796,0.4
17248,17249,X,O,0.14096450805664062,0,0.0,0.718,0.4
17498,17499,X,O,0.08696385473012924,0,0.0,0.852,0.4
17748,17749,X,O,0.09988590329885483,0,0.094,0.7,0.4
17998,17999,X,O,0.07593423128128052,0,0.096,0.714,0.4
18248,18249,X,O,0.08989783376455307,0,0.0,0.79,0.4
18498,18499,X,O,0.06680019199848175,0,0.0,0.732,0.4
18748,18749,X,O,0.0984664112329483,0,0.0,0.654,0.4
18998,18999,X,O,0.07709258794784546,0,0.186,0.804,0.4
19248,19249,X,O,0.052876636385917664,0,0.196,0.834,0.4
19498,19499,X,O,0.08306977152824402,0,0.0,0.818,0.4
19748,19749,X,O,0.08154946565628052,0,0.108,0.802,0.4
19998,19999,X,O,0.1007939875125885,0,0.0,0.832,0.4
248,249,X,O,0.04644399136304855,0,-1.0,-0.072,0.6
498,499,X,O,0.04652121663093567,0,-0.772,0.358,0.6
748,749,X,O,0.05277274176478386,0,-1.0,0.672,0.6
998,999,X,O,0.06960926949977875,0,-1.0,0.652,0.6
1248,1249,X,O,0.0537799671292305,0,-1.0,0.692,0.6
1498,1499,X,O,0.06788172572851181,0,0.0,0.654,0.6
1748,1749,X,O,0.0845683217048645,0,-1.0,0.66,0.6
1998,1999,X,O,0.08300969004631042,0,-0.894,0.77,0.6
2248,2249,X,O,0.0699496865272522,0,-0.804,0.744,0.6
2498,2499,X,O,0.08627704530954361,0,0.184,0.768,0.6
2748,2749,X,O,0.07527658343315125,0,-1.0,0.754,0.6
2998,2999,X,O,0.08359703421592712,0,-0.902,0.842,0.6
3248,3249,X,O,0.060482557862997055,0,0.0,0.82,0.6
3498,3499,X,O,0.13070785999298096,0,0.182,0.736,0.6
3748,3749,X,O,0.10632017254829407,0,0.182,0.806,0.6
3998,3999,X,O,0.08599250018596649,0,-0.822,0.836,0.6
4248,4249,X,O,0.07240969687700272,0,-0.42,0.806,0.6
4498,4499,X,O,0.09426246583461761,0,0.0,0.82,0.6
4748,4749,X,O,0.10199671983718872,0,-1.0,0.788,0.6
4998,4999,X,O,0.09863458573818207,0,0.0,0.768,0.6
5248,5249,X,O,0.07453857362270355,0,-1.0,0.812,0.6
5498,5499,X,O,0.09925447404384613,0,0.21,0.838,0.6
5748,5749,X,O,0.08919849246740341,0,0.0,0.802,0.6
5998,5999,X,O,0.07992388308048248,0,-0.894,0.792,0.6
6248,6249,X,O,0.09104093164205551,0,-0.186,0.876,0.6
6498,6499,X,O,0.10681161284446716,0,-0.902,0.778,0.6
6748,6749,X,O,0.10195407271385193,0,-0.906,0.818,0.6
6998,6999,X,O,0.11374183744192123,0,-0.882,0.822,0.6
7248,7249,X,O,0.08517895638942719,0,-1.0,0.85,0.6
7498,7499,X,O,0.09221835434436798,0,-1.0,0.836,0.6
7748,7749,X,O,0.06738591939210892,0,-0.898,0.836,0.6
7998,7999,X,O,0.11595730483531952,0,-0.794,0.824,0.6
8248,8249,X,O,0.10420764982700348,0,0.0,0.788,0.6
8498,8499,X,O,0.10695444047451019,0,0.208,0.824,0.6
8748,8749,X,O,0.0680045634508133,0,-0.81,0.776,0.6
8998,8999,X,O,0.05728277191519737,0,-0.902,0.776,0.6
9248,9249,X,O,0.08153235912322998,0,-0.29,0.814,0.6
9498,9499,X,O,0.07657267153263092,0,-1.0,0.838,0.6
9748,9749,X,O,0.07607108354568481,0,0.0,0.82,0.6
9998,9999,X,O,0.0753290057182312,0,0.094,0.806,0.6
10248,10249,X,O,0.06016768515110016,0,0.0,0.766,0.6
10498,10499,X,O,0.1034906655550003,0,-1.0,0.726,0.6
10748,10749,X,O,0.0982472375035286,0,0.0,0.724,0.6
10998,10999,X,O,0.08077733963727951,0,-0.5,0.846,0.6
11248,11249,X,O,0.0450315847992897,0,0.0,0.892,0.6
11498,11499,X,O,0.08583198487758636,0,0.0,0.798,0.6
11748,11749,X,O,0.07960638403892517,0,-0.5,0.888,0.6
11998,11999,X,O,0.08352798223495483,0,-1.0,0.904,0.6
12248,12249,X,O,0.09494923055171967,0,-0.5,0.838,0.6
12498,12499,X,O,0.0654449388384819,0,-1.0,0.818,0.6
12748,12749,X,O,0.08045466244220734,0,0.0,0.84,0.6
12998,12999,X,O,0.06665221601724625,0,-1.0,0.866,0.6
13248,13249,X,O,0.06777839362621307,0,0.102,0.836,0.6
13498,13499,X,O,0.11111798137426376,0,0.208,0.842,0.6
13748,13749,X,O,0.06432466953992844,0,0.186,0.824,0.6
13998,13999,X,O,0.12987138330936432,0,-0.294,0.908,0.6
14248,14249,X,O,0.07935644686222076,0,0.216,0.852,0.6
14498,14499,X,O,0.07338619232177734,0,0.196,0.852,0.6
14748,14749,X,O,0.06093046814203262,0,0.182,0.772,0.6
14998,14999,X,O,0.0868430882692337,0,0.0,0.808,0.6
15248,15249,X,O,0.13799214363098145,0,0.0,0.818,0.6
15498,15499,X,O,0.08173459768295288,0,0.226,0.87,0.6
