,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
14748,14749,1,-1,X,O,7.080983050400391e-05,0.0003842868027277291,-0.802,0.264,0.0
14998,14999,1,-1,X,O,0.0003583024372346699,0.00025638696388341486,-0.802,0.392,0.0
15248,15249,-1,1,X,O,0.058110907673835754,0.006553581915795803,-0.67,0.5,0.0
15498,15499,-1,1,X,O,0.04277646914124489,0.04282188042998314,-0.506,0.432,0.0
15748,15749,0,0,X,O,0.05390112102031708,0.0630871057510376,-0.506,0.35,0.0
15998,15999,1,-1,X,O,0.07953955233097076,0.06595715135335922,-0.67,0.386,0.0
16248,16249,-1,1,X,O,0.05643495172262192,0.05339362844824791,-0.538,0.346,0.0
16498,16499,-1,1,X,O,0.03594448044896126,0.08419669419527054,-0.628,0.33,0.0
16748,16749,-1,1,X,O,0.07672352343797684,0.06067796051502228,-0.628,0.346,0.0
16998,16999,1,-1,X,O,0.11508160829544067,0.07156546413898468,-0.69,0.37,0.0
17248,17249,1,-1,X,O,0.0992010235786438,0.0913357064127922,-0.896,0.352,0.0
17498,17499,1,-1,X,O,0.11016489565372467,0.11005498468875885,-0.854,0.276,0.0
17748,17749,1,-1,X,O,0.06217058375477791,0.048955485224723816,-1.0,0.202,0.0
17998,17999,1,-1,X,O,0.06288338452577591,0.022433215752243996,-1.0,0.096,0.0
18248,18249,-1,1,X,O,0.020055456086993217,0.0012665005633607507,-0.896,0.112,0.0
18498,18499,-1,1,X,O,0.08079201728105545,0.045083269476890564,-0.814,0.254,0.0
18748,18749,-1,1,X,O,0.06722018122673035,0.021323584020137787,-0.912,0.218,0.0
18998,18999,-1,1,X,O,0.06046394258737564,0.07546191662549973,-0.814,0.206,0.0
19248,19249,-1,1,X,O,0.095956951379776,0.048842914402484894,-0.632,0.196,0.0
19498,19499,-1,1,X,O,0.032244905829429626,0.03230547532439232,-0.706,-0.116,0.0
19748,19749,-1,1,X,O,0.027361009269952774,0.029111020267009735,-0.658,0.094,0.0
19998,19999,-1,1,X,O,0.06907714903354645,0.03188455104827881,-0.698,0.11,0.0
248,249,1,-1,X,O,0.034336239099502563,0.033630773425102234,-1.0,0.364,0.2
498,499,-1,1,X,O,0.1061876118183136,0.08954356610774994,-1.0,0.574,0.2
748,749,1,-1,X,O,0.10163753479719162,0.12701250612735748,-1.0,0.68,0.2
998,999,-1,1,X,O,0.10331437736749649,0.11916577070951462,-1.0,0.726,0.2
1248,1249,-1,1,X,O,0.11745487153530121,0.05236256122589111,-0.896,0.748,0.2
1498,1499,-1,1,X,O,0.07186981290578842,0.11526833474636078,-0.418,0.808,0.2
1748,1749,-1,1,X,O,0.09017996490001678,0.12183012068271637,-0.202,0.862,0.2
1998,1999,1,-1,X,O,0.0838792622089386,0.043970897793769836,-0.426,0.792,0.2
2248,2249,-1,1,X,O,0.09713709354400635,0.08438737690448761,-0.806,0.828,0.2
2498,2499,-1,1,X,O,0.09000883996486664,0.06252366304397583,-0.294,0.866,0.2
2748,2749,1,-1,X,O,0.07240046560764313,0.050760649144649506,-0.422,0.78,0.2
2998,2999,1,-1,X,O,0.07497966289520264,0.07580897212028503,-0.368,0.872,0.2
3248,3249,1,-1,X,O,0.082600437104702,0.08014967292547226,-0.5,0.844,0.2
3498,3499,-1,1,X,O,0.06656584143638611,0.1814308762550354,-0.57,0.906,0.2
3748,3749,-1,1,X,O,0.06932428479194641,0.08699013292789459,-0.254,0.908,0.2
3998,3999,0,0,X,O,0.059788815677165985,0.11845338344573975,-0.584,0.874,0.2
4248,4249,-1,1,X,O,0.07725860178470612,0.09249864518642426,-0.702,0.824,0.2
4498,4499,-1,1,X,O,0.10250499844551086,0.09126616269350052,-0.49,0.83,0.2
4748,4749,-1,1,X,O,0.0699206292629242,0.15309351682662964,-0.466,0.908,0.2
4998,4999,1,-1,X,O,0.10573393851518631,0.1304832547903061,-0.202,0.892,0.2
5248,5249,-1,1,X,O,0.07560601830482483,0.0855640321969986,-0.8,0.832,0.2
5498,5499,-1,1,X,O,0.058537472039461136,0.09651516377925873,-0.282,0.922,0.2
5748,5749,0,0,X,O,0.07878763973712921,0.0953923761844635,-0.5,0.874,0.2
5998,5999,-1,1,X,O,0.042617835104465485,0.08565862476825714,0.288,0.85,0.2
6248,6249,-1,1,X,O,0.12050306051969528,0.07340875267982483,-0.5,0.898,0.2
6498,6499,-1,1,X,O,0.08522166311740875,0.08877720683813095,-0.38,0.874,0.2
6748,6749,1,-1,X,O,0.06510095298290253,0.07613453269004822,-0.104,0.864,0.2
6998,6999,1,-1,X,O,0.06688863784074783,0.0637950524687767,-0.798,0.894,0.2
7248,7249,-1,1,X,O,0.11259327083826065,0.037754125893116,-0.798,0.944,0.2
7498,7499,-1,1,X,O,0.06986425817012787,0.10485278815031052,-0.694,0.912,0.2
7748,7749,-1,1,X,O,0.06856223940849304,0.04590660706162453,-0.194,0.9,0.2
7998,7999,-1,1,X,O,0.10071873664855957,0.10972881317138672,-0.5,0.902,0.2
8248,8249,-1,1,X,O,0.08360904455184937,0.08749611675739288,-0.5,0.844,0.2
8498,8499,-1,1,X,O,0.0835607573390007,0.037328220903873444,-0.7,0.858,0.2
8748,8749,-1,1,X,O,0.04974242299795151,0.08477455377578735,-0.708,0.858,0.2
8998,8999,1,-1,X,O,0.07454362511634827,0.050501689314842224,-0.708,0.822,0.2
9248,9249,-1,1,X,O,0.06346689164638519,0.08613643795251846,-0.49,0.822,0.2
9498,9499,-1,1,X,O,0.05469776317477226,0.11146187782287598,-0.598,0.854,0.2
9748,9749,1,-1,X,O,0.07914594560861588,0.08225597441196442,-0.104,0.854,0.2
9998,9999,-1,1,X,O,0.07012864947319031,0.1142263188958168,-0.604,0.866,0.2
10248,10249,1,-1,X,O,0.09710598737001419,0.07971234619617462,-0.7,0.838,0.2
10498,10499,-1,1,X,O,0.0647222250699997,0.051274560391902924,-0.5,0.834,0.2
10748,10749,-1,1,X,O,0.07669312506914139,0.07548104226589203,-0.5,0.848,0.2
10998,10999,1,-1,X,O,0.05225720629096031,0.06776143610477448,0.0,0.912,0.2
11248,11249,-1,1,X,O,0.16183820366859436,0.07425210624933243,-0.5,0.838,0.2
11498,11499,1,-1,X,O,0.0818420946598053,0.0494234599173069,-0.5,0.848,0.2
11748,11749,-1,1,X,O,0.08361800760030746,0.0829545184969902,-0.5,0.9,0.2
11998,11999,-1,1,X,O,0.05857327580451965,0.06691465526819229,-0.5,0.892,0.2
12248,12249,-1,1,X,O,0.018256012350320816,0.07627229392528534,-0.194,0.884,0.2
12498,12499,1,-1,X,O,0.07756122946739197,0.051932379603385925,-0.5,0.89,0.2
12748,12749,-1,1,X,O,0.08770154416561127,0.029618456959724426,-0.694,0.892,0.2
12998,12999,1,-1,X,O,0.0787091851234436,0.0579293891787529,-0.5,0.856,0.2
13248,13249,-1,1,X,O,0.08778616040945053,0.09315431863069534,-0.694,0.856,0.2
13498,13499,-1,1,X,O,0.09298233687877655,0.052283260971307755,-0.798,0.88,0.2
13748,13749,-1,1,X,O,0.05901690945029259,0.05842157080769539,-0.694,0.874,0.2
13998,13999,0,0,X,O,0.11355172097682953,0.10279493778944016,-0.694,0.868,0.2
14248,14249,-1,1,X,O,0.07941453158855438,0.06394945830106735,0.396,0.838,0.2
14498,14499,1,-1,X,O,0.08386021852493286,0.05438009649515152,-0.604,0.81,0.2
14748,14749,-1,1,X,O,0.05225936695933342,0.0907566249370575,-0.104,0.854,0.2
14998,14999,-1,1,X,O,0.10805287957191467,0.06367865949869156,-0.604,0.882,0.2
15248,15249,-1,1,X,O,0.14064249396324158,0.13134849071502686,-0.604,0.834,0.2
15498,15499,1,-1,X,O,0.0963936597108841,0.10637357085943222,-0.5,0.898,0.2
15748,15749,0,0,X,O,0.07916346937417984,0.1160353571176529,0.0,0.87,0.2
15998,15999,-1,1,X,O,0.10222327709197998,0.04316965118050575,0.0,0.898,0.2
16248,16249,-1,1,X,O,0.08313994109630585,0.03135623782873154,-0.5,0.908,0.2
16498,16499,-1,1,X,O,0.03724425286054611,0.07635073363780975,-0.5,0.882,0.2
16748,16749,-1,1,X,O,0.045062992721796036,0.05393103510141373,-0.5,0.882,0.2
16998,16999,-1,1,X,O,0.10116685926914215,0.09310465306043625,-0.5,0.87,0.2
17248,17249,1,-1,X,O,0.056773848831653595,0.03163651004433632,-0.702,0.826,0.2
17498,17499,-1,1,X,O,0.08417397737503052,0.10799726098775864,-0.5,0.92,0.2
17748,17749,1,-1,X,O,0.05255989730358124,0.04572758451104164,-0.302,0.882,0.2
17998,17999,-1,1,X,O,0.05569639056921005,0.07120354473590851,0.5,0.856,0.2
18248,18249,-1,1,X,O,0.0796925276517868,0.07644214481115341,-0.382,0.88,0.2
18498,18499,-1,1,X,O,0.07113422453403473,0.05546843260526657,-0.598,0.864,0.2
18748,18749,-1,1,X,O,0.10433150827884674,0.04352262616157532,0.5,0.844,0.2
18998,18999,0,0,X,O,0.09666517376899719,0.07850509881973267,-0.104,0.862,0.2
19248,19249,1,-1,X,O,0.052474189549684525,0.04102713614702225,-0.5,0.9,0.2
19498,19499,1,-1,X,O,0.10533992946147919,0.07398881018161774,-0.604,0.858,0.2
19748,19749,1,-1,X,O,0.07092030346393585,0.02245130017399788,-0.444,0.86,0.2
19998,19999,-1,1,X,O,0.04691094905138016,0.08008814603090286,-0.694,0.788,0.2
248,249,-1,1,X,O,0.02778116799890995,0.06185781583189964,-0.926,0.334,0.4
498,499,-1,1,X,O,0.0758264809846878,0.08056582510471344,-1.0,0.478,0.4
748,749,1,-1,X,O,0.0937991738319397,0.0753893181681633,-1.0,0.438,0.4
998,999,1,-1,X,O,0.07743764668703079,0.11510562896728516,-0.896,0.632,0.4
